股票代码,现价,昨收,策略数量,策略名称
000032,,20.19,,
000415,,3.39,,
000419,,5.81,,
000676,,9.08,,
000715,,5.72,,
000812,,4.67,,
000850,,4.33,,
000887,,17.38,,
000967,,6.66,,
001270,,36.12,,
001359,,30.12,,
002283,,5.9,,
002284,,11.17,,
002315,,43.96,,
002355,,7.92,,
002387,,9.36,,
002420,,6.16,,
002465,,13.29,,
002472,,32.18,,
002530,,10.95,,
002614,,6.47,,
002686,,6.45,,
002708,,11.07,,
002829,,21.5,,
002931,,15.89,,
002933,,34.39,,
002971,,22.55,,
600082,,3.84,,
600165,,4.7,,
600166,,2.72,,
600171,,33.95,,
600191,,7.53,,
600262,,21.55,,
600410,,9.49,,
600729,,30.41,,
601177,,19.06,,
601236,,8.6,,
601886,,5.5,,
603119,,44.98,,
603171,,43.1,,
603583,,36.99,,
603590,,32.15,,
603686,,15.79,,
603809,,14.65,,
603887,,17.26,,
603897,,23.53,,
