股票代码,现价,昨收,策略数量,策略名称
000008,,2.89,,
000012,,5.09,,
000019,,6.98,,
000028,,25.54,,
000030,,6.12,,
000035,,4.46,,
000036,,3.81,,
000039,,8.24,,
000048,,16.43,,
000049,,23.13,,
000055,,4.36,,
000058,,8.44,,
000059,,5.71,,
000060,,5.0,,
000061,,6.63,,
000065,,11.79,,
000068,,3.49,,
000069,,2.38,,
000088,,4.64,,
000090,,3.73,,
000155,,10.3,,
000156,,8.31,,
000157,,8.39,,
000166,,5.38,,
000301,,9.27,,
000338,,16.33,,
000400,,24.81,,
000404,,7.3,,
000408,,46.78,,
000417,,5.73,,
000419,,6.0,,
000422,,13.79,,
000423,,51.15,,
000425,,9.15,,
000498,,6.16,,
000501,,9.53,,
000504,,10.0,,
000507,,5.64,,
000521,,7.59,,
000523,,3.3,,
000528,,11.96,,
000529,,6.4,,
000533,,7.3,,
000537,,8.87,,
000538,,56.51,,
000544,,8.56,,
000546,,5.64,,
000550,,21.33,,
000552,,2.67,,
000564,,2.38,,
000566,,6.97,,
000567,,7.01,,
000568,,129.38,,
000571,,4.92,,
000576,,10.9,,
000581,,19.64,,
000582,,8.4,,
000589,,4.68,,
000591,,4.68,,
000596,,144.43,,
000597,,6.07,,
000599,,5.14,,
000612,,8.95,,
000619,,6.4,,
000625,,13.01,,
000628,,46.21,,
000629,,2.87,,
000630,,3.64,,
000639,,3.34,,
000657,,15.26,,
000661,,103.02,,
000663,,7.04,,
000669,,2.8,,
000680,,10.54,,
000682,,10.86,,
000683,,5.7,,
000688,,14.17,,
000702,,8.09,,
000703,,6.19,,
000707,,6.87,,
000708,,13.74,,
000715,,6.13,,
000716,,6.19,,
000728,,8.39,,
000731,,7.36,,
000735,,6.82,,
000739,,15.24,,
000761,,4.08,,
000762,,23.3,,
000776,,18.79,,
000778,,3.99,,
000779,,10.22,,
000785,,3.13,,
000786,,28.05,,
000790,,4.06,,
000800,,7.27,,
000802,,5.0,,
000813,,3.64,,
000822,,6.31,,
000830,,12.09,,
000833,,12.97,,
000839,,2.74,,
000852,,7.22,,
000856,,12.63,,
000858,,125.53,,
000860,,16.04,,
000868,,5.97,,
000869,,22.04,,
000875,,5.35,,
000876,,10.16,,
000878,,13.94,,
000883,,4.69,,
000885,,14.5,,
000886,,7.38,,
000895,,25.6,,
000902,,14.39,,
000905,,8.27,,
000906,,6.67,,
000912,,4.75,,
000919,,7.16,,
000921,,26.89,,
000922,,12.9,,
000923,,14.94,,
000925,,8.07,,
000927,,2.84,,
000928,,6.77,,
000933,,19.39,,
000937,,6.24,,
000949,,4.03,,
000951,,19.95,,
000962,,17.67,,
000967,,6.71,,
000968,,7.3,,
000969,,13.77,,
000973,,6.95,,
000975,,19.74,,
000978,,6.46,,
000983,,7.54,,
000990,,7.83,,
000998,,9.99,,
001201,,18.09,,
001205,,16.62,,
001206,,25.98,,
001207,,25.28,,
001208,,12.83,,
001213,,4.38,,
001215,,28.74,,
001217,,12.06,,
001218,,18.72,,
001222,,19.81,,
001225,,37.41,,
001226,,32.3,,
001234,,22.49,,
001239,,19.15,,
001255,,34.0,,
001266,,29.0,,
001278,,17.66,,
001283,,74.89,,
001286,,9.14,,
001288,,21.75,,
001289,,16.98,,
001299,,11.82,,
001301,,55.55,,
001308,,23.21,,
001311,,21.46,,
001322,,8.76,,
001323,,31.73,,
001332,,38.0,,
001333,,21.42,,
001337,,24.38,,
001360,,18.89,,
001366,,12.79,,
001376,,12.52,,
001382,,22.56,,
001400,,59.08,,
002001,,22.4,,
002004,,4.49,,
002006,,17.05,,
002007,,16.46,,
002008,,25.04,,
002023,,10.86,,
002029,,7.02,,
002031,,8.48,,
002033,,8.85,,
002035,,6.53,,
002037,,11.73,,
002041,,9.98,,
002046,,17.98,,
002051,,9.1,,
002057,,10.48,,
002060,,4.12,,
002061,,4.28,,
002062,,5.63,,
002064,,7.7,,
002069,,4.21,,
002078,,14.69,,
002079,,10.2,,
002091,,7.57,,
002092,,4.91,,
002097,,9.7,,
002100,,6.67,,
002101,,12.65,,
002109,,3.73,,
002111,,10.84,,
002116,,10.79,,
002124,,3.21,,
002128,,21.03,,
002132,,4.1,,
002135,,4.59,,
002140,,9.99,,
002145,,4.34,,
002151,,28.1,,
002155,,18.61,,
002157,,2.93,,
002158,,18.11,,
002163,,10.99,,
002176,,7.74,,
002182,,12.5,,
002186,,10.96,,
002215,,10.84,,
002216,,11.44,,
002226,,6.92,,
002234,,8.63,,
002237,,12.3,,
002240,,14.72,,
002242,,10.03,,
002243,,8.31,,
002248,,9.26,,
002254,,10.71,,
002266,,4.06,,
002267,,8.03,,
002270,,18.18,,
002271,,12.64,,
002275,,15.03,,
002282,,7.95,,
002283,,6.4,,
002287,,25.45,,
002297,,9.57,,
002304,,69.53,,
002307,,4.48,,
002318,,24.49,,
002320,,8.18,,
002321,,2.53,,
002328,,5.94,,
002330,,4.89,,
002332,,10.15,,
002333,,5.72,,
002340,,6.6,,
002346,,14.18,,
002353,,39.25,,
002358,,5.58,,
002360,,6.42,,
002361,,6.43,,
002372,,11.29,,
002375,,4.13,,
002378,,9.0,,
002385,,4.24,,
002386,,5.27,,
002390,,3.75,,
002391,,6.26,,
002392,,7.07,,
002398,,5.91,,
002399,,13.73,,
002407,,12.64,,
002408,,4.9,,
002410,,13.96,,
002415,,28.4,,
002419,,5.82,,
002428,,20.98,,
002430,,22.63,,
002431,,2.4,,
002442,,6.8,,
002443,,6.91,,
002445,,2.58,,
002452,,7.94,,
002458,,8.8,,
002460,,36.78,,
002462,,13.92,,
002469,,8.63,,
002476,,4.98,,
002478,,5.66,,
002482,,1.85,,
002493,,9.52,,
002497,,14.53,,
002498,,3.68,,
002507,,13.26,,
002508,,19.44,,
002516,,5.31,,
002523,,4.02,,
002526,,4.18,,
002532,,9.39,,
002533,,10.38,,
002534,,13.94,,
002535,,4.21,,
002538,,5.56,,
002541,,19.2,,
002548,,4.22,,
002556,,6.04,,
002557,,22.5,,
002560,,8.96,,
002567,,5.14,,
002568,,26.19,,
002572,,14.34,,
002573,,4.15,,
002576,,18.0,,
002578,,3.66,,
002594,,341.69,,
002596,,4.93,,
002598,,11.37,,
002601,,17.26,,
002603,,15.89,,
002606,,9.95,,
002611,,13.6,,
002613,,4.01,,
002614,,6.71,,
002617,,7.81,,
002628,,5.64,,
002637,,10.67,,
002641,,4.4,,
002646,,10.35,,
002662,,3.62,,
002671,,5.32,,
002675,,15.81,,
002679,,9.94,,
002686,,6.92,,
002690,,17.16,,
002691,,8.76,,
002692,,5.23,,
002694,,5.12,,
002697,,5.64,,
002702,,4.38,,
002715,,19.23,,
002726,,5.82,,
002736,,12.44,,
002738,,35.84,,
002743,,6.27,,
002745,,8.5,,
002746,,6.33,,
002753,,7.4,,
002756,,35.81,,
002761,,10.58,,
002773,,42.8,,
002787,,8.78,,
002790,,7.64,,
002791,,22.75,,
002809,,13.97,,
002812,,29.59,,
002818,,12.81,,
002832,,16.42,,
002833,,16.63,,
002836,,9.8,,
002838,,22.96,,
002840,,10.79,,
002841,,35.01,,
002842,,9.63,,
002859,,21.5,,
002879,,16.58,,
002883,,13.87,,
002884,,16.45,,
002917,,17.05,,
002918,,8.96,,
002941,,12.93,,
002959,,47.96,,
002960,,10.34,,
002971,,26.3,,
002982,,15.97,,
002984,,19.61,,
002986,,11.5,,
002996,,7.91,,
003000,,12.95,,
003012,,6.14,,
003013,,15.21,,
003022,,16.51,,
003035,,4.86,,
003042,,17.73,,
003043,,43.53,,
003816,,3.78,,
301016,,18.29,,
301028,,13.92,,
301035,,63.27,,
301037,,13.95,,
301038,,23.18,,
301043,,35.36,,
301046,,21.02,,
301048,,11.38,,
301053,,30.32,,
301057,,17.86,,
301058,,11.82,,
301059,,11.97,,
301071,,30.66,,
301090,,8.3,,
301091,,29.88,,
301097,,42.88,,
301103,,22.98,,
301115,,16.6,,
301116,,11.54,,
301117,,22.68,,
301118,,23.79,,
301122,,22.54,,
301135,,27.78,,
301136,,13.62,,
301138,,38.1,,
301151,,25.56,,
301156,,19.8,,
301158,,18.19,,
301175,,5.45,,
301186,,47.0,,
301190,,22.89,,
301215,,6.39,,
301216,,13.55,,
301219,,53.68,,
301231,,24.9,,
301256,,10.7,,
301267,,19.73,,
301281,,34.12,,
301286,,28.2,,
301289,,51.22,,
301290,,26.48,,
301296,,9.77,,
301300,,41.1,,
301305,,18.61,,
301323,,46.05,,
301348,,20.98,,
301371,,25.96,,
301381,,20.69,,
301390,,38.65,,
301446,,27.21,,
301456,,27.79,,
301468,,27.3,,
301487,,21.62,,
301499,,27.86,,
301508,,35.64,,
301519,,14.78,,
301522,,35.91,,
301538,,68.19,,
301552,,39.85,,
301557,,72.95,,
301587,,23.17,,
301588,,18.82,,
301592,,159.04,,
301598,,63.4,,
301603,,55.94,,
301618,,60.94,,
301633,,90.14,,
430685,,16.05,,
600004,,9.45,,
600006,,7.48,,
600008,,3.19,,
600009,,32.39,,
600012,,17.5,,
600019,,7.62,,
600025,,9.74,,
600028,,6.03,,
600029,,5.76,,
600030,,28.93,,
600031,,21.22,,
600035,,4.45,,
600037,,8.45,,
600054,,11.73,,
600055,,17.86,,
600056,,10.84,,
600058,,8.46,,
600063,,4.93,,
600064,,8.12,,
600067,,3.15,,
600075,,4.59,,
600078,,6.31,,
600079,,22.04,,
600080,,7.58,,
600081,,13.45,,
600084,,5.8,,
600085,,36.22,,
600088,,16.33,,
600089,,14.44,,
600096,,25.05,,
600100,,7.29,,
600106,,6.34,,
600108,,3.07,,
600116,,7.0,,
600117,,2.85,,
600123,,7.11,,
600125,,5.9,,
600127,,7.02,,
600129,,22.23,,
600131,,18.42,,
600132,,56.29,,
600135,,7.89,,
600138,,9.95,,
600143,,12.3,,
600157,,1.47,,
600158,,8.5,,
600161,,19.94,,
600163,,5.43,,
600166,,2.89,,
600169,,2.78,,
600170,,2.55,,
600172,,4.54,,
600177,,7.53,,
600180,,4.69,,
600185,,5.95,,
600188,,13.56,,
600197,,15.26,,
600211,,41.6,,
600219,,4.15,,
600221,,1.52,,
600223,,8.51,,
600227,,2.47,,
600230,,16.13,,
600233,,14.47,,
600238,,6.64,,
600248,,4.17,,
600251,,8.21,,
600252,,2.73,,
600257,,5.42,,
600269,,5.26,,
600273,,9.1,,
600283,,10.26,,
600284,,6.86,,
600292,,12.28,,
600295,,10.05,,
600299,,10.33,,
600300,,3.52,,
600305,,7.84,,
600307,,1.68,,
600309,,63.05,,
600312,,17.08,,
600313,,6.46,,
600315,,22.44,,
600328,,8.48,,
