股票代码,现价,昨收,策略数量,策略名称
000010,,3.62,,
000514,,6.86,,
000584,,0.29,,
000607,,6.0,,
000635,,9.93,,
000655,,9.77,,
000723,,4.99,,
000892,,5.69,,
002107,,6.52,,
002121,,6.26,,
002218,,4.49,,
002314,,3.56,,
002356,,3.7,,
002437,,3.14,,
002459,,11.81,,
002468,,12.1,,
002506,,2.86,,
002546,,6.31,,
002564,,6.11,,
002628,,4.93,,
002640,,6.0,,
002674,,10.85,,
600327,,5.34,,
600340,,2.48,,
600606,,1.89,,
600622,,3.31,,
600939,,3.81,,
601696,,11.85,,
601718,,4.33,,
603778,,4.54,,
603856,,12.84,,
605366,,7.02,,
