股票代码,现价,昨收,策略数量,策略名称
600773,,9.97,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
603616,,4.46,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002067,,3.83,1,strategy_top_gainers
301038,,17.26,1,strategy_top_gainers
301079,,31.9,1,strategy_top_gainers
301150,,21.9,1,strategy_top_gainers
872895,,52.52,1,strategy_top_gainers
000637,,4.87,1,strategy_plate_breakout_post_close
000985,,20.37,1,strategy_plate_breakout_post_close
002272,,11.04,1,strategy_plate_breakout_post_close
002457,,12.63,1,strategy_plate_breakout_post_close
002490,,7.02,1,strategy_plate_breakout_post_close
600113,,20.69,1,strategy_plate_breakout_post_close
600378,,26.4,1,strategy_plate_breakout_post_close
600876,,11.03,1,strategy_plate_breakout_post_close
601121,,6.28,1,strategy_plate_breakout_post_close
601778,,2.81,1,strategy_plate_breakout_post_close
603155,,14.39,1,strategy_plate_breakout_post_close
603161,,12.98,1,strategy_plate_breakout_post_close
603209,,16.43,1,strategy_plate_breakout_post_close
603212,,10.63,1,strategy_plate_breakout_post_close
605169,,11.82,1,strategy_plate_breakout_post_close
002595,,62.46,1,strategy_ma_convergence_start
603486,,53.88,1,strategy_ma_convergence_start
603202,,97.28,2,"strategy_box_bottom_rebound, strategy_ma_convergence_start"
603816,,24.76,2,"strategy_box_bottom_rebound, strategy_ma_convergence_start"
603893,,142.91,2,"strategy_box_bottom_rebound, strategy_ma_convergence_start"
000333,,72.38,1,strategy_box_bottom_rebound
000737,,8.87,1,strategy_box_bottom_rebound
000975,,19.15,1,strategy_box_bottom_rebound
002001,,21.7,1,strategy_box_bottom_rebound
002648,,15.98,1,strategy_box_bottom_rebound
003041,,29.3,1,strategy_box_bottom_rebound
600285,,22.81,1,strategy_box_bottom_rebound
600609,,5.04,1,strategy_box_bottom_rebound
601126,,15.73,1,strategy_box_bottom_rebound
603379,,46.81,1,strategy_box_bottom_rebound
