股票代码,现价,昨收,策略数量,策略名称
000607,,6.6,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
000758,,5.69,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
000831,,40.73,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002209,,13.93,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002279,,7.3,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002356,,4.07,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002401,,17.88,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002645,,10.45,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002716,,4.41,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002821,,97.5,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002912,,26.08,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
301159,,38.33,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600173,,6.86,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600399,,5.8,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600513,,14.98,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600622,,3.64,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600826,,8.99,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600864,,6.82,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
600962,,21.64,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
601375,,4.65,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
603176,,5.59,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
603259,,77.15,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
603325,,98.88,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
603856,,14.12,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
605122,,18.99,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
605259,,21.87,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
835184,,22.21,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
836807,,18.92,2,"strategy_top_gainers, strategy_plate_breakout_post_close"
002896,,61.44,1,strategy_top_gainers
003029,,30.69,1,strategy_top_gainers
301225,,82.37,1,strategy_top_gainers
301392,,124.87,1,strategy_top_gainers
600281,,7.47,1,strategy_top_gainers
600462,,0.19,1,strategy_top_gainers
600822,,10.99,1,strategy_top_gainers
603955,,33.99,1,strategy_top_gainers
836961,,44.99,1,strategy_top_gainers
000032,,21.19,1,strategy_plate_breakout_post_close
000426,,17.72,1,strategy_plate_breakout_post_close
000590,,14.3,1,strategy_plate_breakout_post_close
000652,,4.56,1,strategy_plate_breakout_post_close
000655,,10.21,1,strategy_plate_breakout_post_close
000702,,8.48,1,strategy_plate_breakout_post_close
000819,,18.37,1,strategy_plate_breakout_post_close
000926,,2.46,1,strategy_plate_breakout_post_close
000965,,4.59,1,strategy_plate_breakout_post_close
000995,,15.65,1,strategy_plate_breakout_post_close
002289,,19.23,1,strategy_plate_breakout_post_close
002396,,24.06,1,strategy_plate_breakout_post_close
002468,,12.66,1,strategy_plate_breakout_post_close
002564,,6.59,1,strategy_plate_breakout_post_close
002657,,33.33,1,strategy_plate_breakout_post_close
002857,,23.16,1,strategy_plate_breakout_post_close
301102,,11.79,1,strategy_plate_breakout_post_close
301168,,38.69,1,strategy_plate_breakout_post_close
301265,,11.22,1,strategy_plate_breakout_post_close
301299,,66.95,1,strategy_plate_breakout_post_close
430718,,19.56,1,strategy_plate_breakout_post_close
600010,,2.09,1,strategy_plate_breakout_post_close
600058,,8.27,1,strategy_plate_breakout_post_close
600109,,9.56,1,strategy_plate_breakout_post_close
600111,,29.71,1,strategy_plate_breakout_post_close
600150,,34.77,1,strategy_plate_breakout_post_close
600208,,3.5,1,strategy_plate_breakout_post_close
600226,,3.0,1,strategy_plate_breakout_post_close
600390,,6.7,1,strategy_plate_breakout_post_close
600392,,14.99,1,strategy_plate_breakout_post_close
600419,,10.51,1,strategy_plate_breakout_post_close
600539,,11.6,1,strategy_plate_breakout_post_close
600602,,21.28,1,strategy_plate_breakout_post_close
600678,,9.46,1,strategy_plate_breakout_post_close
600812,,6.87,1,strategy_plate_breakout_post_close
600839,,10.06,1,strategy_plate_breakout_post_close
600958,,10.41,1,strategy_plate_breakout_post_close
600986,,8.74,1,strategy_plate_breakout_post_close
601068,,5.21,1,strategy_plate_breakout_post_close
601456,,11.05,1,strategy_plate_breakout_post_close
601696,,13.04,1,strategy_plate_breakout_post_close
603173,,38.46,1,strategy_plate_breakout_post_close
603267,,52.63,1,strategy_plate_breakout_post_close
603297,,89.4,1,strategy_plate_breakout_post_close
603456,,16.45,1,strategy_plate_breakout_post_close
