ts_code,name
002251.SZ,步步高
002696.SZ,百洋股份
600165.SH,ST宁科
688639.SH,华恒生物
605179.SH,一鸣食品
002724.SZ,海洋王
002821.SZ,凯莱英
605289.SH,罗曼股份
002936.SZ,郑州银行
600408.SH,安泰集团
600851.SH,海欣股份
600429.SH,三元股份
688506.SH,百利天恒
002392.SZ,北京利尔
000756.SZ,新华制药
002991.SZ,甘源食品
600079.SH,人福医药
603237.SH,五芳斋
002086.SZ,东方海洋
603696.SH,XD安记食
002258.SZ,利尔化学
000983.SZ,山西焦煤
002541.SZ,鸿路钢构
600073.SH,光明肉业
002882.SZ,金龙羽
603983.SH,丸美生物
600132.SH,重庆啤酒
601169.SH,北京银行
600962.SH,国投中鲁
002582.SZ,好想你
600801.SH,华新水泥
688679.SH,通源环境
002873.SZ,新天药业
600691.SH,阳煤化工
002399.SZ,海普瑞
600527.SH,江南高纤
600841.SH,动力新科
688515.SH,裕太微-U
688719.SH,爱科赛博
600600.SH,青岛啤酒
003006.SZ,百亚股份
603207.SH,小方制药
000599.SZ,青岛双星
002484.SZ,江海股份
600990.SH,四创电子
603235.SH,天新药业
605122.SH,四方新材
000672.SZ,上峰水泥
605499.SH,东鹏饮料
601860.SH,紫金银行
603011.SH,合锻智能
600257.SH,大湖股份
688297.SH,中无人机
688599.SH,天合光能
688266.SH,泽璟制药-U
600787.SH,XD中储股
603676.SH,卫信康
002360.SZ,同德化工
002161.SZ,远 望 谷
603608.SH,天创时尚
002620.SZ,ST瑞和
601009.SH,南京银行
605028.SH,世茂能源
001914.SZ,招商积余
000911.SZ,广农糖业
000833.SZ,粤桂股份
600293.SH,三峡新材
600712.SH,南宁百货
603967.SH,中创物流
603779.SH,威龙股份
603139.SH,康惠制药
603359.SH,东珠生态
688378.SH,奥来德
002563.SZ,森马服饰
600121.SH,郑州煤电
003000.SZ,劲仔食品
002162.SZ,悦心健康
002321.SZ,华英农业
002956.SZ,西麦食品
000403.SZ,派林生物
688550.SH,瑞联新材
688314.SH,康拓医疗
002548.SZ,金新农
600467.SH,好当家
688300.SH,联瑞新材
600192.SH,长城电工
000524.SZ,岭南控股
000812.SZ,陕西金叶
600585.SH,海螺水泥
002732.SZ,燕塘乳业
600807.SH,济高发展
600682.SH,南京新百
001206.SZ,依依股份
600800.SH,渤海化学
600365.SH,ST通葡
002949.SZ,华阳国际
605136.SH,丽人丽妆
603456.SH,九洲药业
603041.SH,美思德
688159.SH,有方科技
002255.SZ,海陆重工
002973.SZ,侨银股份
603766.SH,XD隆鑫通
600644.SH,乐山电力
002287.SZ,奇正藏药
000048.SZ,京基智农
002952.SZ,亚世光电
605006.SH,山东玻纤
688361.SH,中科飞测
600391.SH,航发科技
600861.SH,北京人力
603477.SH,巨星农牧
600725.SH,云维股份
601890.SH,亚星锚链
688625.SH,呈和科技
600612.SH,老凤祥
002943.SZ,宇晶股份
605081.SH,*ST太和
002231.SZ,*ST奥维
000722.SZ,湖南发展
601229.SH,上海银行
688169.SH,石头科技
600303.SH,曙光股份
002626.SZ,金达威
600655.SH,豫园股份
601699.SH,潞安环能
601933.SH,永辉超市
002773.SZ,康弘药业
000869.SZ,张  裕Ａ
600789.SH,鲁抗医药
600593.SH,大连圣亚
600729.SH,重庆百货
600616.SH,金枫酒业
002293.SZ,罗莱生活
688598.SH,金博股份
688536.SH,思瑞浦
688621.SH,阳光诺和
002741.SZ,光华科技
603596.SH,伯特利
688295.SH,中复神鹰
603536.SH,惠发食品
002603.SZ,以岭药业
002982.SZ,湘佳股份
603619.SH,中曼石油
000752.SZ,ST西发
002726.SZ,龙大美食
002982.SZ,湘佳股份
603619.SH,中曼石油
000752.SZ,ST西发
000869.SZ,张  裕Ａ
002726.SZ,龙大美食
600316.SH,洪都航空
603323.SH,苏农银行
000096.SZ,广聚能源
002702.SZ,海欣食品
002683.SZ,广东宏大
002255.SZ,海陆重工
000722.SZ,湖南发展
600351.SH,亚宝药业
603353.SH,和顺石油
601858.SH,中国科传
603486.SH,科沃斯
601997.SH,贵阳银行
002773.SZ,康弘药业
603797.SH,联泰环保
002037.SZ,保利联合
603199.SH,九华旅游
002023.SZ,海特高新
603611.SH,诺力股份
603569.SH,长久物流
000759.SZ,中百集团
002390.SZ,信邦制药
688137.SH,近岸蛋白
002554.SZ,惠博普
001267.SZ,汇绿生态
600105.SH,永鼎股份
600693.SH,东百集团
002597.SZ,金禾实业
002511.SZ,中顺洁柔
600180.SH,瑞茂通
600572.SH,康恩贝
002397.SZ,梦洁股份
002568.SZ,百润股份
600732.SH,爱旭股份
002066.SZ,瑞泰科技
601577.SH,长沙银行
603229.SH,奥翔药业
603330.SH,天洋新材
688598.SH,金博股份
000505.SZ,京粮控股
601107.SH,四川成渝
600744.SH,华银电力
688373.SH,盟科药业-U
600650.SH,锦江在线
002086.SZ,东方海洋
603057.SH,紫燕食品
002807.SZ,江阴银行
002299.SZ,圣农发展
600758.SH,辽宁能源
603755.SH,日辰股份
002714.SZ,牧原股份
002311.SZ,海大集团
603130.SH,云中马
002648.SZ,卫星化学
002076.SZ,*ST星光
600476.SH,湘邮科技
603363.SH,傲农生物
600300.SH,维维股份
600653.SH,申华控股
600708.SH,光明地产
000963.SZ,华东医药
688050.SH,爱博医疗
603087.SH,甘李药业
600562.SH,国睿科技
605116.SH,奥锐特
001234.SZ,泰慕士
000820.SZ,*ST节能
000025.SZ,特  力Ａ
600518.SH,康美药业
600137.SH,浪莎股份
002107.SZ,沃华医药
688606.SH,奥泰生物
002728.SZ,特一药业
000519.SZ,中兵红箭
600926.SH,杭州银行
688206.SH,概伦电子
600491.SH,龙元建设
600721.SH,百花医药
603014.SH,威高血净
603095.SH,越剑智能
600594.SH,益佰制药
688196.SH,卓越新能
000657.SZ,中钨高新
601860.SH,紫金银行
688155.SH,先惠技术
000338.SZ,潍柴动力
601919.SH,中远海控
002216.SZ,三全食品
600108.SH,亚盛集团
603231.SH,索宝蛋白
600129.SH,太极集团
002038.SZ,双鹭药业
603103.SH,横店影视
603868.SH,飞科电器
600060.SH,海信视像
002124.SZ,天邦食品
600353.SH,旭光电子
600965.SH,福成股份
603057.SH,紫燕食品
600581.SH,八一钢铁
600137.SH,浪莎股份
688409.SH,富创精密
002232.SZ,启明信息
000153.SZ,丰原药业
000952.SZ,广济药业
600351.SH,亚宝药业
600267.SH,海正药业
003042.SZ,中农联合
600751.SH,海航科技
603095.SH,越剑智能
603045.SH,福达合金
000513.SZ,丽珠集团
000935.SZ,四川双马
000056.SZ,皇庭国际
603787.SH,新日股份
601015.SH,陕西黑猫
002865.SZ,钧达股份
002332.SZ,仙琚制药
605167.SH,利柏特
688202.SH,美迪西
002910.SZ,庄园牧场
600273.SH,嘉化能源
688660.SH,电气风电
002403.SZ,爱仕达
600129.SH,太极集团
688178.SH,万德斯
601919.SH,中远海控
603345.SH,安井食品
603059.SH,倍加洁
603231.SH,索宝蛋白
000159.SZ,国际实业
002707.SZ,众信旅游
600228.SH,*ST返利
000663.SZ,永安林业
603150.SH,万朗磁塑
000657.SZ,中钨高新
603168.SH,莎普爱思
603062.SH,麦加芯彩
002014.SZ,永新股份
002728.SZ,特一药业
601001.SH,晋控煤业
002141.SZ,*ST贤丰
002697.SZ,红旗连锁
603291.SH,联合水务
601918.SH,新集能源
002968.SZ,新大正
688448.SH,磁谷科技
000813.SZ,德展健康
605567.SH,春雪食品
002137.SZ,实益达
600182.SH,S佳通
603268.SH,*ST松发
000561.SZ,烽火电子
600771.SH,广誉远
603866.SH,桃李面包
002827.SZ,高争民爆
600084.SH,中信尼雅
600546.SH,山煤国际
002029.SZ,七 匹 狼
002521.SZ,齐峰新材
603127.SH,昭衍新药
000951.SZ,中国重汽
002345.SZ,潮宏基
688559.SH,海目星
002822.SZ,ST中装
000610.SZ,西安旅游
600176.SH,中国巨石
603214.SH,爱婴室
600180.SH,瑞茂通
600572.SH,康恩贝
603113.SH,金能科技
688596.SH,正帆科技
688150.SH,莱特光电
603896.SH,寿仙谷
600679.SH,上海凤凰
600661.SH,昂立教育
688155.SH,先惠技术
600212.SH,绿能慧充
603588.SH,高能环境
002021.SZ,中捷资源
603170.SH,宝立食品
603801.SH,志邦家居
688141.SH,杰华特
002240.SZ,盛新锂能
002159.SZ,三特索道
000955.SZ,欣龙控股
600715.SH,文投控股
000912.SZ,泸天化
002581.SZ,未名医药
001296.SZ,长江材料
002034.SZ,旺能环境
600838.SH,上海九百
600901.SH,江苏金租
603815.SH,交建股份
003022.SZ,联泓新科
002562.SZ,兄弟科技
603082.SH,北自科技
600645.SH,中源协和
000876.SZ,新 希 望
603215.SH,XD比依股
002256.SZ,兆新股份
600740.SH,山西焦化
002959.SZ,小熊电器
002224.SZ,三 力 士
688608.SH,恒玄科技
002567.SZ,唐人神
688139.SH,海尔生物
603032.SH,德新科技
600975.SH,新五丰
688199.SH,久日新材
000564.SZ,供销大集
002136.SZ,安 纳 达
002722.SZ,物产金轮
001217.SZ,华尔泰
600785.SH,新华百货
002067.SZ,景兴纸业
000595.SZ,*ST宝实
001227.SZ,兰州银行
601866.SH,中远海发
002675.SZ,东诚药业
688549.SH,中巨芯-U
603031.SH,安孚科技
600674.SH,川投能源
000796.SZ,凯撒旅业
688235.SH,百济神州-U
600352.SH,浙江龙盛
603916.SH,苏博特
000707.SZ,双环科技
002100.SZ,天康生物
000698.SZ,沈阳化工
001328.SZ,登康口腔
002201.SZ,九鼎新材
002172.SZ,澳洋健康
603320.SH,迪贝电气
601328.SH,交通银行
002585.SZ,双星新材
600973.SH,宝胜股份
002551.SZ,尚荣医疗
600798.SH,宁波海运
002486.SZ,嘉麟杰
603260.SH,合盛硅业
002549.SZ,凯美特气
603722.SH,阿科力
688131.SH,皓元医药
002651.SZ,利君股份
600889.SH,南京化纤
000753.SZ,漳州发展
603500.SH,祥和实业
688218.SH,江苏北人
000761.SZ,本钢板材
600503.SH,华丽家族
603285.SH,XD键邦股
000739.SZ,普洛药业
600236.SH,桂冠电力
002040.SZ,南 京 港
002044.SZ,美年健康
002990.SZ,盛视科技
603988.SH,中电电机
688299.SH,长阳科技
002226.SZ,江南化工
600873.SH,梅花生物
603719.SH,良品铺子
002069.SZ,獐子岛
600976.SH,健民集团
000790.SZ,华神科技
603202.SH,天有为
002039.SZ,黔源电力
002758.SZ,浙农股份
603768.SH,常青股份
603209.SH,兴通股份
002459.SZ,晶澳科技
000411.SZ,英特集团
600348.SH,华阳股份
600150.SH,中国船舶
600617.SH,国新能源
600305.SH,恒顺醋业
601665.SH,齐鲁银行
001238.SZ,浙江正特
001201.SZ,东瑞股份
000597.SZ,东北制药
003013.SZ,地铁设计
600666.SH,奥瑞德
601000.SH,唐山港
600127.SH,金健米业
688368.SH,晶丰明源
002385.SZ,大北农
000766.SZ,通化金马
002811.SZ,郑中设计
002187.SZ,广百股份
603369.SH,今世缘
600818.SH,中路股份
001299.SZ,美能能源
000789.SZ,万年青
600828.SH,茂业商业
603708.SH,家家悦
002719.SZ,麦趣尔
603708.SH,家家悦
002719.SZ,麦趣尔
600886.SH,国投电力
603566.SH,普莱柯
002581.SZ,未名医药
601116.SH,三江购物
600329.SH,达仁堂
603739.SH,蔚蓝生物
002627.SZ,三峡旅游
601022.SH,宁波远洋
600770.SH,综艺股份
600226.SH,亨通股份
603387.SH,基蛋生物
002643.SZ,万润股份
002812.SZ,恩捷股份
002347.SZ,泰尔股份
603389.SH,*ST亚振
603737.SH,三棵树
688755.SH,汉邦科技
000735.SZ,罗 牛 山
601666.SH,平煤股份
600359.SH,新农开发
000705.SZ,浙江震元
002800.SZ,天顺股份
603656.SH,泰禾智能
002846.SZ,英联股份
600285.SH,羚锐制药
000723.SZ,美锦能源
600749.SH,西藏旅游
688247.SH,宣泰医药
002651.SZ,利君股份
601010.SH,文峰股份
000017.SZ,深中华A
002282.SZ,博深股份
002001.SZ,新 和 成
600598.SH,北大荒
000920.SZ,沃顿科技
600097.SH,开创国际
000798.SZ,中水渔业
603209.SH,兴通股份
688016.SH,心脉医疗
601528.SH,瑞丰银行
601618.SH,中国中冶
002742.SZ,*ST三圣
688186.SH,广大特材
600230.SH,沧州大化
002607.SZ,中公教育
601212.SH,白银有色
603339.SH,四方科技
600438.SH,通威股份
603072.SH,天和磁材
605077.SH,华康股份
601989.SH,中国重工
002133.SZ,广宇集团
002040.SZ,南 京 港
600016.SH,民生银行
603217.SH,元利科技
003041.SZ,真爱美家
603609.SH,禾丰股份
000886.SZ,海南高速
000028.SZ,国药一致
600535.SH,天士力
603020.SH,爱普股份
603858.SH,步长制药
