股票代码,现价,昨收,策略数量,策略名称
002546.SZ,6.02,4.97,1,strategy_top_gainers
603585.SH,19.06,15.75,2,"strategy_top_gainers, strategy_macd_golden_cross"
603083.SH,43.86,38.03,1,strategy_top_gainers
839493.BJ,163.0,139.9,1,strategy_top_gainers
